姓名,國文,英文,數學,社會,地理
陳向愛,61,70,54,78,96
吳柏誠,61,61,57,79,63
尚偉倫,71,86,88,73,65
戴萱能,85,72,100,90,79
潘俊賢,70,99,54,96,85
李彥伸,66,55,72,95,61
洪阿惠,67,71,51,56,81
鍾俞禎,59,50,82,70,81
陳凱翔,97,54,60,73,89
蔡欣汝,97,79,95,77,64
謝哲維,76,87,56,56,65
林詠斌,97,78,62,84,89
黃偉剛,55,90,72,82,99
葉軍仰,95,61,59,62,88
李湘婷,58,52,90,64,54
簡美君,78,96,58,65,61
林義皓,87,66,62,90,88
周怡啟,78,73,96,92,56
李政白,100,96,97,71,69
鄭孟芳,66,72,60,94,52
張莉雯,50,88,58,54,73
賴又琦,100,68,62,97,91
趙家豪,75,82,93,97,74
張婕妤,88,96,88,94,98
馮耀中,85,86,86,58,85
孫宜珊,59,94,97,80,55
張韋成,81,99,69,89,79
吳俐芷,89,80,97,69,83
李政成,76,84,95,75,58
蔡世馨,61,54,78,50,89
